BUY_SELL,Datetime,Symbol,Close,Stoch,BBpercentages,PSAR,MA200,MA50,MA20,macdhist,AskPrice,Sell,OrderID
BUY,"28/12/2022, 22:15:40",RAREBUSD,0.10250000,0.00000000,2.12905399,0.10335805,0.10492700,0.10423800,0.10363500,-0.00007455,0.10280000,0, 0
BUY,"29/12/2022, 03:16:48",APTBUSD,3.17020000,2.22929936,1.16550743,3.18480000,3.21914850,3.20332800,3.19306000,-0.00171984,3.17150000,0,0
BUY,"29/12/2022, 08:34:17",HOOKBUSD,1.10450000,0.00000000,1.39297302,1.11079145,1.12662350,1.11889600,1.11359000,-0.00055037,1.10530000,0,0
BUY,"29/12/2022,0, 10:14:27",DREPBUSD,0.35160000,0.00000000,2.46868959,0.35512273,0.36311850,0.35887000,0.35658500,-0.00038495,0.35240000,0,0
BUY,"29/12/2022,0, 17:49:41",SNMBUSD,0.48270000,17.04545455,2.32663112,0.48872251,0.50771300,0.49329200,0.48888500,-0.00032019,0.48330000,0,0
BUY,"30/12/2022, 06:49:15",HOOKBUSD,1.15310000,14.00000000,1.20743675,1.16270000,1.17495400,1.16898600,1.16394000,-0.00044632,1.15730000,0,0
BUY,"30/12/2022, 08:35:07",DREPBUSD,0.34000000,6.77966102,2.11618175,0.34353734,0.34778250,0.34493000,0.34386000,-0.00045027,0.34090000,0,0
BUY,"30/12/2022, 08:47:39",SRMBUSD,0.14090000,7.35735736,4.88272774,0.14393000,0.15133940,0.14644980,0.14443550,-0.00036658,0.14067000,0,0
BUY,"30/12/2022, 11:51:58",MIRBUSD,0.13480000,0.00000000,3.49,0.13731448,0.14060235,0.13909540,0.13760550,-0.00025916,0.13519000,0,0
BUY,"30/12/2022, 13:17:04",MIRBUSD,0.13624000,3.15789474,2.23,0.13762258,0.13902210,0.13842980,0.13791750,-0.00015234,0.13672000,0,0
BUY,"31/12/2022, 03:44:11",MAGICBUSD,0.51590000,10.34482759,1.82,0.51975432,0.52618150,0.52259600,0.52094000,-0.00060444,0.51620000,0,0
BUY,"31/12/2022, 06:08:12",SRMBUSD,0.14044000,1.03359173,3.52,0.14219582,0.14820355,0.14381880,0.14311400,-0.00030302,0.14040000,0,0
BUY,"01/01/2023, 10:09:37",HOOKBUSD,1.22050000,2.47933884,1.05,1.22580000,1.23804050,1.23414200,1.22789000,-0.00007259,1.22200000,0,0
BUY,"01/01/2023, 19:18:13",HOOKBUSD,1.28010000,0.00000000,3.21,1.30039683,1.32323750,1.30634000,1.30137000,-0.00275989,1.28070000,0,39118171
SELL,"01/01/2023, 19:18:26",HOOKBUSD,0,0,0,0,0,0,0,0,0,1.3,0
BUY,"01/01/2023, 22:54:11",LDOBUSD,1.07900000,18.51851852,2.81,1.09340474,1.10469500,1.09818000,1.09475000,-0.00191380,1.07800000,0,57740230
SELL,"01/01/2023, 22:54:24",LDOBUSD,0,0,0,0,0,0,0,0,0,1.081,57740278
BUY,"02/01/2023, 14:15:27",HOOKBUSD,1.32720000,4.30107527,1.81,1.33984546,1.36422600,1.34771600,1.34120500,-0.00122825,1.32750000,0,39782363
SELL,"02/01/2023, 14:15:41",HOOKBUSD,0,0,0,0,0,0,0,0,0,1.3312,39782453
SELL,"02/01/2023, 14:15:41",ADABUSD,0,0,0,0,0,0,0,0,0,0.32,1057562429
